date,description,voucher_type,amount,closing
10/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13025158358*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1200.00,2276899.86
10/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13025224944*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,50000.00,2326899.86
10/05/2026,TO TRANSFER-UPI/DR/613086764396/MAYANK/KKBK/mayankbung/UPI- TRANSFER TO 4897696162090 /,Payment,7000.00,2319899.86
10/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13025646874*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,13500.00,2333399.86
10/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13025900813*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,250.00,2333649.86
10/05/2026,TO TRANSFER-UPI/DR/613099238600/UDAYPRA/UTIB/9058131490/UPI- TRANSFER TO 4897696162090 /,Payment,25000.00,2308649.86
10/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13026113588*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,400.00,2309049.86
10/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13026139389*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,2309349.86
10/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13026185514*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,350.00,2309699.86
11/05/2026,TO TRANSFER-UPI/DR/613130443628/LAVTYAG/BARB/atharvtyag/UPI- TRANSFER TO 4897690162095 /,Payment,5500.00,2304199.86
11/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13133176552*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,40.00,2304239.86
11/05/2026,BY TRANSFER-IMPS/613113878942/CNB-XX937-STXAVIER/IMPS- TRANSFER FROM 4698302162091 /,Receipt,3186.00,2307425.86
11/05/2026,BY TRANSFER-released fromnagar palika- TRANSFER FROM 44555557133 KRITIKA COMPUTERS /,Receipt,61754.00,2369179.86
11/05/2026,TO TRANSFER-UPI/DR/613147756551/DIVAKAR/YESB/paytmqr5u3/Verif- TRANSFER TO 4897690162095 /,Payment,3900.00,2365279.86
11/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13133690184*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,800.00,2366079.86
11/05/2026,BY TRANSFER-NEFT*PUNB0446100*PUNBW26131940506*EX ENG EGDLOHIA- TRANSFER FROM 99509044300 /,Receipt,418443.00,2784522.86
11/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13134360191*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,5400.00,2789922.86
11/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13134585686*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,7250.00,2797172.86
12/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13242146983*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,3124.86,2800297.72
12/05/2026,TO TRANSFER-UPI/DR/613214036602/MS RAVI/YESB/paytmqr1ul/UPI- TRANSFER TO 4897691162095 /,Payment,90.00,2800207.72
12/05/2026,TO TRANSFER-UPI/DR/613219506604/GuptaRa/UTIB/gpay-12200/UPI- TRANSFER TO 4897691162095 /,Payment,2770.00,2797437.72
12/05/2026,TO TRANSFER-UPI/DR/613223445608/SEEMADI/BARB/seemadi976/Verif- TRANSFER TO 4897691162095 /,Payment,11900.00,2785537.72
12/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13242779274*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2000.00,2787537.72
12/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13242780479*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,8000.00,2795537.72
12/05/2026,TO TRANSFER-UPI/DR/613230268592/LOKESHE/BARB/lokeshpare/UPI- TRANSFER TO 4897691162095 /,Payment,5400.00,2790137.72
12/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13242996421*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,700.00,2790837.72
12/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13243366110*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,2791137.72
12/05/2026,TO TRANSFER-INB NEFT UTR NO:SBIN126132540145-LAXMI AGENCIES NEFT INB: CNAFDJEZX4 TRANSFER TO 4697163044300 / LAXMI AGENCIES,Payment,104555.00,2686582.72
