date,description,voucher_type,amount,closing
05/10/2025,NEFT CR-YESAP52781857739-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,1410.00,-358834.90
06/10/2025,NEFT CR-YESAP52792537238-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,381.98,-358452.92
07/10/2025,NEFT CR-YESAP52802499610-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,277.00,-358175.92
08/10/2025,NEFT CR-YESAP52813311954-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,200.00,-357975.92
09/10/2025,NEFT CR-YESAP52824336277-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,408.00,-357567.92
10/10/2025,NEFT CR-YESAP52834117099-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,222.00,-357345.92
11/10/2025,NEFT CR-YESAP52840274546-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,312.00,-357033.92
12/10/2025,NEFT CR-YESAP52853758909-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,2070.00,-354963.92
13/10/2025,NEFT CR-YESAP52863376820-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,1205.00,-353758.92
14/10/2025,NEFT CR-YESAP52873992074-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,493.00,-353265.92
15/10/2025,NEFT CR-YESAP52883654656-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,205.00,-353060.92
16/10/2025,NEFT CR-YESAP52893661677-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,20.00,-353040.92
17/10/2025,NEFT CR-YESAP52903543523-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,35.00,-353005.92
18/10/2025,NEFT CR-YESAP52913396259-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,244.00,-352761.92
19/10/2025,NEFT CR-YESAP52923417774-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,996.00,-351765.92
20/10/2025,NEFT CR-YESAP52933704263-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,90.00,-351675.92
20/10/2025,CHQ PAID-MICR INWARD CLEARING-MITTAL INDUSTRIAL CORPOR-PUNJAB NATIONAL BANK (PNB)-PUNJAB NATIONAL BANK,Payment,12984.00,-364659.92
21/10/2025,NEFT CR-YESAP52944043162-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,1310.00,-363349.92
22/10/2025,NEFT CR-YESAP52953207866-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,86.00,-363263.92
