date,description,voucher_type,amount,closing
21/05/2026,NEFT_IN:37SCBLH1 4100668002SCBL003 6001//SCBLH141006 68002/EURONET SERVICES INDIA P,Receipt,11178.00,
22/05/2026,NEFT_IN:23CITIN266 71443723CITI010000 0//CITIN26671443723 /INDIAIDEAS.COM LIMITED-,Receipt,3726.00,
22/05/2026,NEFT_IN:35SCBLH1 4200709006SCBL003 6001//SCBLH142007 09006/EURONET SERVICES INDIA P,Receipt,15835.50,
22/05/2026,NEFT_IN:40YESIG61 420126037YESB0000 001//YESIG61420126 037/EURONET SERVICES IND,Receipt,5589.00,
22/05/2026,O/W CLEARING INST NO:970699 AMOUNT:931.5,Receipt,931.50,
25/05/2026,NEFT_IN:22CITIN266 72013997CITI010000 0//CITIN26672013997 /INDIAIDEAS.COM LTD BBPS,Receipt,3726.00,
25/05/2026,NEFT_IN:22CITIN266 72012869CITI010000 0//CITIN26672012869 /INDIAIDEAS.COM LTD BBPS,Receipt,1863.00,
25/05/2026,TRF TBY SETH HARNAM DASS SR SEC SCHOOL ACCOUNT VID,Receipt,931.50,
25/05/2026,"TRF BY HEADMASTER, G.G.H.S. SUI",Receipt,931.50,
25/05/2026,NEFT_IN:24INDBH25 056663521INDB0000 006//INDBH25056663 521/NARI SHAKTI MAHILA CLUST,Receipt,9691.00,
25/05/2026,NEFT_IN:24CITIN266 72026617CITI010000 0//CITIN26672026617 /INDIAIDEAS.COM LIMITED-,Receipt,4657.50,
25/05/2026,NEFT_IN:24CITIN266 72030927CITI010000 0//CITIN26672030927 /INDIAIDEAS.COM LIMITED-,Receipt,931.50,
25/05/2026,NEFT_IN:25YESIG61 450050261YESB0000 001//YESIG61450050 261/EURONET SERVICES IND,Receipt,2794.50,
25/05/2026,NEFT_IN:31SCBLH1 4500756935SCBL003 6001//SCBLH145007 56935/EURONET SERVICES INDIA P,Receipt,8383.50,
25/05/2026,NEFT_IN:31SCBLH1 4500752608SCBL003 6001//SCBLH145007 52608/EURONET SERVICES INDIA P,Receipt,8383.50,
25/05/2026,NEFT_IN:32SCBLH1 4500785221SCBL003 6001//SCBLH145007 85221/EURONET SERVICES INDIA P,Receipt,8383.50,
25/05/2026,NEFT_IN:42YESIG61 450190589YESB0000 001//YESIG61450190 589/EURONET SERVICES IND,Receipt,4657.50,
26/05/2026,NEFT_IN:22CITIN266 73103898CITI010000 0//CITIN26673103898 /INDIAIDEAS.COM LTD BBPS,Receipt,931.50,
26/05/2026,NEFT_IN:23CITIN266 73110560CITI010000 0//CITIN26673110560 /INDIAIDEAS.COM LIMITED-,Receipt,6520.50,
26/05/2026,NEFT_CHRG:PUNBH 26146397099/SBIN00 05700/43556752017,Payment,17.41,
26/05/2026,NEFT_OUT:PUNBH2 6146397099/BHAWA NI GAS SEWA /SBIN0005700/43556 752017,Payment,160000.00,
26/05/2026,NEFT_IN:34YESIG61 460088878YESB0000 001//YESIG61460088 878/EURONET SERVICES IND,Receipt,1863.00,
27/05/2026,NEFT_IN:22CITIN266 73482651CITI010000 0//CITIN26673482651 /INDIAIDEAS.COM LTD BBPS,Receipt,3726.00,
27/05/2026,NEFT_IN:23CITIN266 73488408CITI010000 0//CITIN26673488408 /INDIAIDEAS.COM LIMITED-,Receipt,2794.50,
27/05/2026,NEFT_IN:33YESIG61 470075605YESB0000 001//YESIG61470075 605/EURONET SERVICES IND,Receipt,931.50,
